,method,accuracy,num_concepts,pairing
0,med-mean,0.0,4,Corgi-Snow
1,mean,1.0,4,Corgi-Snow
2,median,1.0,4,Corgi-Snow
3,med-mean,0.0,7,Corgi-Snow
4,mean,0.0,7,Corgi-Snow
5,median,1.0,7,Corgi-Snow
6,med-mean,1.0,10,Corgi-Snow
7,mean,1.0,10,Corgi-Snow
8,median,0.0,10,Corgi-Snow
9,med-mean,1.0,4,Bulldog-Desert
10,mean,1.0,4,Bulldog-Desert
11,median,1.0,4,Bulldog-Desert
12,med-mean,1.0,7,Bulldog-Desert
13,mean,1.0,7,Bulldog-Desert
14,median,1.0,7,Bulldog-Desert
15,med-mean,1.0,10,Bulldog-Desert
16,mean,1.0,10,Bulldog-Desert
17,median,1.0,10,Bulldog-Desert
18,med-mean,1.0,4,Daschund-Jungle
19,mean,1.0,4,Daschund-Jungle
20,median,1.0,4,Daschund-Jungle
21,med-mean,1.0,7,Daschund-Jungle
22,mean,1.0,7,Daschund-Jungle
23,median,1.0,7,Daschund-Jungle
24,med-mean,1.0,10,Daschund-Jungle
25,mean,1.0,10,Daschund-Jungle
26,median,1.0,10,Daschund-Jungle
27,med-mean,1.0,4,Labrador-Dirt
28,mean,1.0,4,Labrador-Dirt
29,median,1.0,4,Labrador-Dirt
30,med-mean,0.0,7,Labrador-Dirt
31,mean,1.0,7,Labrador-Dirt
32,median,0.0,7,Labrador-Dirt
33,med-mean,0.0,10,Labrador-Dirt
34,mean,1.0,10,Labrador-Dirt
35,median,0.0,10,Labrador-Dirt
