,method_model,spurious_score,num_concepts
0,med-mean_bugged,0.9527832,4
1,med-mean_normal,0.6710182,4
2,mean_bugged,0.95278305,4
3,mean_normal,0.67101824,4
4,median_bugged,0.8060646,4
5,median_normal,0.67101765,4
6,med-mean_bugged,0.93218976,7
7,med-mean_normal,0.6413531,7
8,mean_bugged,0.9321886,7
9,mean_normal,0.33934548,7
10,median_bugged,0.83812875,7
11,median_normal,0.64884955,7
12,med-mean_bugged,0.76735085,10
13,med-mean_normal,0.7582628,10
14,mean_bugged,0.76736164,10
15,mean_normal,0.6369962,10
16,median_bugged,0.95697755,10
17,median_normal,0.81574166,10
